blink_freq,ch1,ch2,ch3,ch4,timestamp
10.0,1383.3441148102283,907.4194060489535,739.8905875338241,523.1559053016827,1684226389.8396251
10.0,1396.097173659131,937.794873489067,773.602045734413,572.612342315726,1684226389.8396251
10.0,1365.3851152230054,864.57511215657,669.2924960702658,455.0224079089239,1684226389.8403375
10.0,1357.164815120399,837.1354661816731,637.630503045395,395.1204303186387,1684226389.8403375
10.0,1383.819082104601,903.5635691946372,730.8961281403899,507.7213381845504,1684226389.8539054
10.0,1390.1058539301157,923.9909027526155,760.6358125880361,560.0986370639876,1684226389.8539054
10.0,1359.9772198870778,868.2065550135449,669.8834002632648,465.9690950792283,1684226389.8696887
10.0,1350.952841293998,829.8688405677676,632.8658705018461,383.478121756576,1684226389.8696887
10.0,1378.620621166192,893.9445465086028,723.4312878288329,494.2389988442883,1684226389.870372
10.0,1396.7815753510222,935.3265395183116,764.4168514432386,565.5401914995164,1684226389.870372
10.0,1367.0905096028,865.5736654447392,656.5132579216734,459.01662106160074,1684226389.883958
10.0,1364.4314407343045,845.1164126871154,642.7840851843357,405.20694049913436,1684226389.883958
10.0,1395.8391205621883,906.6676861578599,740.1187214311212,515.22731739562,1684226389.899541
10.0,1393.6774583877996,931.8446926595643,769.3722188845277,563.6066632224247,1684226389.899541
10.0,1359.8762425882742,862.1516569852829,663.5704491380602,466.24584767594934,1684226389.9002883
10.0,1357.9427143111825,838.0816608704627,641.6097565982491,401.6764749409631,1684226389.9002883
10.0,1388.1311867535114,903.2793367980048,738.0056779561564,512.8749203234911,1684226389.9139388
10.0,1387.6973583586514,924.1068396512419,771.1935501629487,553.0489256475121,1684226389.9139388
10.0,1359.1581817967817,852.7645080965012,655.3987677348778,440.37321978248656,1684226389.9296496
10.0,1360.8112175771967,837.6852314751595,634.6610224805772,407.2003071755171,1684226389.9296496
10.0,1388.5388358486816,906.4806911600754,728.4165744697675,526.8845855575055,1684226389.930362
10.0,1397.4023987436667,933.6361047383398,766.6121727172285,569.2651318553835,1684226389.930362
10.0,1353.8886627592146,856.9382364470512,655.3501490354538,441.6148665677756,1684226389.9603112
10.0,1347.5981510337442,828.0026304898784,633.770926291123,384.5851321434602,1684226389.9603112
10.0,1381.9678316265345,895.7583979871124,728.9476402634755,504.4975444227457,1684226389.961087
10.0,1394.3132413802668,933.0601601451635,769.7574285799637,582.8372287945822,1684226389.961087
10.0,1365.7815446183085,863.621437667869,671.7570901410654,474.6718422761187,1684226389.9618003
10.0,1349.9580279057845,834.2819225154817,633.0341659998521,398.13478968292475,1684226389.9618003
10.0,1374.6376277133822,894.3858547033742,720.0429384689778,491.2433389797807,1684226389.9743464
10.0,1373.3847612282261,905.2614837745205,739.6587137365714,533.8295797752216,1684226389.9743464
10.0,1344.8007058668882,843.4633769067004,649.3625692063943,441.22217707242817,1684226389.9896247
10.0,1348.0618986282498,830.0520956655964,627.5701721645892,399.95612096134573,1684226389.9896247
10.0,1375.2659309059381,892.2503718286753,737.3137964643538,493.65931435115635,1684226389.990354
10.0,1395.3043148685247,931.5903794625774,772.4164974484593,568.7191064618528,1684226389.990354
10.0,1363.2720717480406,854.5783595750108,661.6257011611015,447.1312190024182,1684226390.003929
10.0,1346.5771583458409,822.3254623571411,617.3864245852455,374.2480486659333,1684226390.003929
10.0,1377.281736982055,891.408894338645,723.7903182245791,489.2724117031321,1684226390.0196016
10.0,1388.6098939478397,921.7806218788028,755.0259626545012,557.9631541892886,1684226390.0196016
10.0,1363.0888166502118,865.8429382415488,667.5721420906484,456.6268249899149,1684226390.020966
10.0,1366.3051306121051,842.1768513219431,641.4339813003317,404.5262787071988,1684226390.020966
10.0,1397.4285780433565,919.7386365029961,750.336128110066,521.9965363154188,1684226390.0339282
10.0,1407.3430528258905,942.9409758280963,772.106085752137,579.3479021359235,1684226390.0339282
10.0,1377.6706865774468,874.2988520413637,676.8358742808923,469.67907583527267,1684226390.0496037
10.0,1365.4524334222078,842.7714954148978,642.0398450931534,408.419514561072,1684226390.0496037
10.0,1388.823068245314,904.8426149794832,738.9556125449017,502.62759444490075,1684226390.0503595
10.0,1396.4038454554975,937.3012066949159,769.8733654785901,564.5154589116573,1684226390.0503595
10.0,1364.4314407343045,867.2267012251541,669.7861628644168,455.1458246074617,1684226390.0640073
10.0,1358.4363811053336,833.6012607235461,632.372203707695,381.9971213741228,1684226390.0640073
10.0,1390.9361117202789,914.8244079612195,750.3623074097559,516.7905955770984,1684226390.0802405
10.0,1390.4910636255518,927.8729189066216,763.784808350727,549.3127655917779,1684226390.0802405
10.0,1357.2508328193799,863.0754122743383,651.6663475790992,453.9191374219954,1684226390.0804095
10.0,1367.8609289936721,857.2449082434177,651.1689408849925,447.2845549006015,1684226390.0804095
10.0,1383.433872409165,897.9985980605707,722.7955048363656,489.4145279014483,1684226390.093838
10.0,1384.6642994945869,914.0988673698157,737.7401450593024,526.4357975628227,1684226390.093838
10.0,1361.7985511654988,858.9652622230351,656.180406825617,440.2797222835943,1684226390.1101267
10.0,1367.5654768971726,840.0338886473328,639.5827308222651,402.06542453635484,1684226390.1101267
10.0,1404.8111405558884,919.6376592041925,743.7464243881404,527.7036236478016,1684226390.1103806
10.0,1407.118658828549,939.9864548631012,767.0834001116455,573.794150701724,1684226390.1103806
10.0,1371.4512329511344,870.0054468922317,668.6342736780643,468.3289719512686,1684226390.1243596
10.0,1355.4594207406044,831.323661650531,627.6861090632156,398.01511288434267,1684226390.1243596
10.0,1402.1558115873486,921.0476014874876,752.1611992884427,549.3651241911575,1684226390.1396596
10.0,1400.9740032013506,935.4948350163177,773.5160280354321,570.2898644432425,1684226390.1396596
10.0,1371.421313751489,865.4203295465559,663.1179212434217,436.8016153248027,1684226390.1403613
10.0,1362.8008443536237,831.9070860436186,632.4357820069417,385.71458193007857,1684226390.1403613
10.0,1397.0433683479205,913.1900716805831,736.9959049681202,518.8998991521075,1684226390.153982
10.0,1405.1813906515017,947.731787671335,773.7553816325963,590.9453318985179,1684226390.153982
10.0,1382.8803672157228,889.5688635604456,685.3553663799539,491.14610158093274,1684226390.186022
10.0,1376.3243225933984,851.272288014181,645.2711186548695,389.0842317901552,1684226390.186022
10.0,1397.4023987436667,909.0313029298559,740.459052327089,501.2026925617829,1684226390.1867535
10.0,1411.329786178656,953.6931882007048,792.6493562087417,592.5048701800406,1684226390.1867535
10.0,1380.5952883427963,876.2510798182338,670.0404760614038,467.8427849570289,1684226390.1877196
10.0,1373.036950532347,846.5899332696572,647.6160359270871,399.3390374686569,1684226390.1877196
